query,title,url,source,seendate,year
International Yoga Day,आज अन्तर्राष्ट्रिय योग दिवस मनाइँदै,https://ekantipur.com/national/2023/06/21/168731794707677381.html,,20230621T040000Z,2023
International Yoga Day,BOON - Nemzetközi Jóga Nap a miskolci Népkertben,https://www.boon.hu/helyi-eletstilus/2023/06/nemzetkozi-joga-nap-a-miskolci-nepkertben,,20230611T081500Z,2023
International Yoga Day,Indian Army performs yoga in Rajasthan on 9th International Yoga Day,https://www.thestatesman.com/india/indian-army-performs-yoga-in-rajasthan-on-9th-international-yoga-day-1503192340.html,,20230621T071500Z,2023
International Yoga Day,Indian Army performs yoga in Rajasthan on 9th International Yoga Day,https://news.webindia123.com/news/Articles/India/20230621/4090705.html,,20230621T060000Z,2023
International Yoga Day,"Union Minister Piyush Goyal , Assam CM Himanta Biswa Sarma perform Yoga on International Yoga Day",http://aninews.in/news/national/general-news/union-minister-piyush-goyal-assam-cm-himanta-biswa-sarma-perform-yoga-on-international-yoga-day20230621084920/,,20230621T074500Z,2023
International Yoga Day,International Day of Yoga 2023 : UAE to witness massive events in land and water,https://gulfnews.com/uae/international-day-of-yoga-2023-uae-to-witness-massive-events-in-land-and-water-1.96356316,,20230613T073000Z,2023
International Yoga Day,Hindistan ve Pakistanda Uluslararası Yoga Günü kutlamaları,https://www.haberler.com/dunya/hindistan-ve-pakistan-da-uluslararasi-yoga-gunu-kutlamalari-16056704-haberi/,,20230622T153000Z,2023
International Yoga Day,Gujarat : Guinness World Record 1 lakh people doing yoga ; Greetings Prime Minister Modi | குஜராத் : 1 லட்சம் பேர் யோகா செய்து கின்னஸ் உலக சாதனை ; பிரதமர் மோடி வாழ்த்து,https://www.dailythanthi.com:443/News/India/gujarat-guinness-world-record-1-lakh-people-doing-yoga-greetings-prime-minister-modi-991920,,20230622T074500Z,2023
International Yoga Day,Nepal kickstarts International Day of Yoga celebrations a day ahead | Watch,https://www.livemint.com/news/world/nepal-kickstarts-international-day-of-yoga-celebrations-a-day-ahead-watch-11687229497766.html,,20230620T041500Z,2023
International Yoga Day,Yoga now a global movement : What PM Modi said in his International Day of Yoga message | India News,https://timesofindia.indiatimes.com/india/yoga-now-a-global-movement-what-pm-modi-said-in-his-international-day-of-yoga-message/articleshow/101151028.cms,,20230621T051500Z,2023
