video_id,title,channel,upload_date,duration,view_count
pgfmCg6-Poc,"International Day of Yoga - 📍Capital City of Yoga, Rishikesh, 🚩Parmarth Niketan || 21 June 2025 ||",Parmarth Niketan,20250621,5750,3777
uTg5Hj67MsI,"International Yoga Day 2025 | Theme : Yoga for One Earth, One Health",Fact Navigate,20250609,447,3090
FKOpBDx-IMk,International Day Of Yoga 2025,BSF_India,20250621,5445,1705
Q1E2AbocGHs,"INTERNATIONAL DAY OF YOGA 2025 | 30 min, feel good, gentle vinyasa flow ✨",Arianna Elizabeth,20250621,1594,5836
mFKrbvCrs5s,"International Yoga Day 2025 celebrations with the Diplomatic Corps (June 21, 2025)","Ministry of External Affairs, India",20250621,5052,2710
Zi6BXd5OjrI,LIVE YOGA SESSION BY DR.TEJASWINI MANOGNA || INTERNATIONAL YOGA DAY 2025,Tejaswini Manogna,20250621,4050,37869
zYuEEmmziS0,International Yoga Day 2025 | #IndianArmedForces Lead with Strength & Serenity,"Ministry of Defence, Government of India",20250620,38,335
AWTD4P1OBJI,International yoga day 2025,OD-Rider-7111 ,20250621,148,11782
MVckEuCgVmY,"LIVE: PM Modi takes part in 11th International Day of Yoga celebrations in Visakhapatnam, AP",Bharatiya Janata Party,20250621,5365,10867
aoIxsKGu69I,International Yoga Day 2025 | Yoga Day theme 2025 | Yoga Day Speech | Why do we celebrate Yoga day,Aspirants Yard,20250620,183,713
FJdzGF3kDNw,International Yoga Day Celebration 2025 | Amba School for Excellence,Amba School for Excellence,20250620,85,11241
keKQxTcz74I,International Day of Yoga 2025,Christ Academy Media Production,20250621,88,1375
TaMHJzT5GD8,International Yoga Day Special Quiz - International Day of Yoga Quiz - Most Important Questions,MOM&MISHKA,20250617,399,2495
y2PQPmXPlzI,International Yoga Day 2025: PM Modi Leads Historic Yoga Session On Vizag's Coastline | WION,WION,20250621,415,1036
etHlu9QTTRM,"LIVE Coverage: International Yoga Day 2025 | Yoga For One Earth, One Health | PM Modi LIVE | N18G",CNN-News18,20250621,28892,37319
vzqMklQ5BsM,LIVE: PM Modi Leads International Yoga Day 2025 Event From Visakhapatnam | Yoga Day 2025,Times Now,20250621,20,6000
LO6uqfl4Dec,International Day of Yoga 2025 || Yoga for One Earth One Health,ki & ka,20250614,325,517
FuYLXHEGwDo,🎉🧘‍♀️ International Yoga Day 2025 – Celebration Highlights | Bethesda School Byrapura 🧘‍♂️🌿,"Bethesda School, Byarapura, HASSAN",20250622,28,798
I_q5U4GJda0,International Yoga Day (Redmond) - 2025,Madhu Rajanna,20260519,105,21
eJ86TdGHuEA,Yoga Day 2025 LIVE: Indian PM Narendra Modi Takes Part in International Yoga Day 2025 Celebrations,Firstpost,20250621,4430,2582
CaQwpE-D-uQ,योग गीत - International Yoga Day Special 2025| विश्व में शांति रहेगी योग से #yogamusicforexercise,Hari Singer Patanjali,20250618,320,534231
6WjueVfA_i8,"World Celebrates 11th International Yoga Day 2025 Across 1,300 Cities Globally | India Today News",India Today,20250621,580,814
MAoKHa-fj0E,International Yoga Day 2025 | Yoga Performance | Bliss Yoga Udupi,Bliss Yoga Academy ,20250621,220,1602
