video_id,in_phase2,in_v1,has_transcript,status
LAuhSmFz9rM,True,False,False,phase2_missing_transcript
LESQfogfjt0,False,True,False,legacy_only
LG4WlJNuAb0,True,False,False,phase2_missing_transcript
LImq8XTRTZg,False,True,False,legacy_only
LO6uqfl4Dec,True,False,False,phase2_missing_transcript
LOQqCH6L4HU,False,True,False,legacy_only
LQllvEizyM0,True,False,False,phase2_missing_transcript
LRHh5TvYyV0,True,False,False,phase2_missing_transcript
LUZMUEnFwdw,False,True,False,legacy_only
L_GxgYRVSTs,False,True,True,legacy_only_with_transcript
L_eZQwnYtfY,False,True,False,legacy_only
LbrX6tZ0Ovg,False,True,True,legacy_only_with_transcript
LcXwLEEJRzo,True,False,False,phase2_missing_transcript
Ldu0MsFKakY,True,False,False,phase2_missing_transcript
LjzGCVtZABs,False,True,False,legacy_only
LkzRIr3IkwU,False,True,False,legacy_only
LlIcW_A5eaM,True,False,False,phase2_missing_transcript
LlsAx-TaQw4,True,False,False,phase2_missing_transcript
LmgN-lRJ3TA,True,False,False,phase2_missing_transcript
LrMK9WrQ3SU,True,False,False,phase2_missing_transcript
Ltpr7aSX6Cs,True,False,False,phase2_missing_transcript
LwazVRH0UHQ,True,False,False,phase2_missing_transcript
M2NAu29ZxYc,False,True,True,legacy_only_with_transcript
M7AavH3OLhE,False,True,True,legacy_only_with_transcript
M7gQJsG1-HQ,True,False,False,phase2_missing_transcript
M7hXd3KZRh4,False,True,False,legacy_only
MADy-oiozFw,True,False,False,phase2_missing_transcript
MAoKHa-fj0E,True,False,False,phase2_missing_transcript
MCx-eg_3TGM,False,True,False,legacy_only
MI3kpaaZ9MM,False,True,False,legacy_only
MS4cYZRrCd0,True,False,False,phase2_missing_transcript
MVckEuCgVmY,True,False,False,phase2_missing_transcript
MY9gDr71grk,False,True,False,legacy_only
Md-GXKtjP5E,True,False,False,phase2_missing_transcript
MeRqn3Hk7vA,False,True,False,legacy_only
MhLMPC5zjWc,False,True,True,legacy_only_with_transcript
Mi5NnZXUKOE,False,True,False,legacy_only
MkMx1E53C70,False,True,False,legacy_only
MkrFz5QRjOs,True,False,False,phase2_missing_transcript
MnQ5_K-41Xk,False,True,False,legacy_only
MniPdncacTM,False,True,True,legacy_only_with_transcript
MoW2xNKtVew,False,True,True,legacy_only_with_transcript
Mpx3CiDMyf0,True,False,False,phase2_missing_transcript
Mrhgz1yeBSg,False,True,True,legacy_only_with_transcript
N2hINf9f0Fw,False,True,True,legacy_only_with_transcript
N42eZHCExBo,False,True,True,legacy_only_with_transcript
N4cNi6c6qVw,True,False,False,phase2_missing_transcript
N9K_goSCAIQ,True,False,False,phase2_missing_transcript
N9ZnuWKaVGc,True,False,False,phase2_missing_transcript
NHPENqo4x4M,True,False,False,phase2_missing_transcript
NHxc7bLQCEw,False,True,False,legacy_only
NJBogtJh9T0,False,True,True,legacy_only_with_transcript
NOK9-J_s3_8,True,False,False,phase2_missing_transcript
NQkMW-u_Yqw,True,False,False,phase2_missing_transcript
NRFwGkALO7A,False,True,True,legacy_only_with_transcript
NRukKF7Or1o,True,False,False,phase2_missing_transcript
NTpkt3ylNmE,False,True,True,legacy_only_with_transcript
