video_id,captions_available,languages,auto_generated
QPsMAwSiZVk,True,hi,True
44PPtRBjkuE,True,hi,True
PlxXjJjsaKw,True,en,True
0Uxhco6qwFo,True,en,True
QLXIv_0bvEw,True,en,True
4iCvX3DfXVc,True,en,True
EHX1-Dj2IXM,True,en,True
deco9KHty04,True,en,True
MADy-oiozFw,True,en,True
EXqpq6rrAjE,True,hi,True
V33bIkpFR1A,True,en,True
ECI11uKvmG4,True,en,True
tYr0q8HLkQY,True,hi,True
FJM8kEO2mPY,True,en,True
6u_xoU2AOdo,True,en,True
AgBX2c7w7Ts,True,en,True
Y69md6XRncU,True,hi,True
GTYUovcslV0,True,en,True
hg6HLBWpbcM,True,en,True
ZyL0KYXzLUk,True,hi,True
Z09qEkLoVeo,True,hi,True
ILYKKso4dfE,True,en,True
RU5dR1NyP8s,True,en,True
XRmDFoEIk8I,True,hi,True
mopEtlHBDw8,True,en,True
v9QMhGittCM,True,hi,True
OghYPFzSChg,True,en,True
kT4s6iZ6mJI,True,nl,True
uWsNWorJLcM,True,hi,True
wF2g2CklpUs,True,en,True
h0UrbyV3jUY,True,en,True
UJPAHpPTt1Y,True,hi,True
dsbK-YLLB-U,True,hi,True
ekzlBsSR8RU,True,hi,True
jHyYaM2oe1E,True,hi,True
Ke39MCav5Hs,True,hi,True
559cVTeWW9s,True,en,True
D9dBXNT0YA4,True,en,True
K7YeE3zSQdE,True,hi,True
z7RdbXnjjMc,True,en,True
UMSIaxSdOa4,True,en,True
N_c9BgiN46Q,True,en,True
xgIkGdwPqlQ,True,en,True
xm28ewV7S9w,True,en,True
RNCyEuseurI,True,en,True
I6qzKSOXUsM,True,en,True
Cn69_7WkUSM,True,en,True
JK2y_SfHdf8,True,hi,True
JxVCCHqc72E,True,en,True
ocuerNUWTaM,True,en,True
qBcyeYP6snc,True,en,True
FB543E0MSXQ,True,en,True
2088EJFs5fQ,True,en,True
KASKJeYSE20,True,hi,True
j-uKhBSLL48,True,en,True
pORdexOKJ7E,True,en,True
0T_qOiw2Xuk,True,en,True
jq3XAReBLtQ,True,en,True
CWa-gW_-7zQ,True,en,True
3DbBA1BTAM4,True,en,True
BSiBZtjXDb0,True,en,True
HXhxVUNecmg,True,en,True
tdplSsPk8tI,True,en,True
u1JgC4ZjEJc,True,en,True
jMKJYZDqTks,True,en,True
VWRLYm3qBI4,True,en,True
piaIDE9_72U,True,hi,True
sMBMcZ9qC1c,True,hi,True
5HxJ-DOJGV0,True,hi,True
bYf5oUBqcvs,True,hi,True
F8r2xYzf6Z0,True,en,True
3jgTR6-g1Lo,True,en,True
cipmQDkJWRk,True,en,True
ckQIyUR-YYQ,True,hi,True
-ZxrdlQe_78,True,en,True
lA9dHOAGUjs,True,en,True
38OJ5YUWgDE,True,hi,True
LlIcW_A5eaM,True,en,True
tHkW2akJLfY,True,en,True
kkvjhnSG3pQ,True,en,True
VsGPjzPndHc,True,hi,True
3-4dvMSYSis,True,en,True
pSjXJBEdLhQ,True,en,True
6WtvdIBrW8c,True,hi,True
DrEBOB3mAWI,True,hi,True
d_PYT6CElGg,True,en,True
puFOuS2sk9w,True,hi,True
cEebNNbLlQU,True,en,True
Xr6ZOn6Xd7E,True,hi,True
I0ahh_fiPVo,True,hi,True
y4tARqIzJis,True,en,True
Iwuib4fD6dM,True,en,True
ijS-ruHh_-8,True,en,True
f3PH1cvX8sM,True,en,True
wOB5cUaunT8,True,hi,True
lFzm6nIcyoE,True,hi,True
k2JHTLlqGuE,True,en,True
og_Xqy_IHpY,True,en,True
j-f0YHcix90,True,en,True
sqhAuIa5PB4,True,en,True
2e_pszlUvOs,True,hi,True
_IKq9_hxfR8,True,en,True
tc80x4xIlHA,True,en,True
xm0_KOSNLTY,True,en,True
hqSZI4xHvw8,True,en,True
24OcYjeKAZo,True,en,True
E4CYCnXnhrk,True,ar,True
9SZFSBW5MDk,True,en,True
vesCA0lzuzA,True,hi,True
549VedVn4gg,True,en,True
KvdAWtb4mVE,True,en,True
n3Zf6ga7ncU,True,en,True
cpgmUSfA334,True,"en,en",True
VzBqEC3qk3Q,True,en,True
QIU7y0WBfgc,True,hi,True
JbzEmGWh1mc,True,en,True
clhT4OwJ_SQ,True,hi,True
HSBwdaHZhx4,True,en,True
FFItaOgVdPY,True,en,True
woDftJ5-_hk,True,en,True
N9ZnuWKaVGc,True,en,True
yU_V9zgUo-k,True,nl,True
tlQFariES-I,True,hi,True
VPJwv5iWDF4,True,hi,True
EeWUKcI5ErU,True,hi,True
bUbKvHgR9sc,True,hi,True
h6BWo6jsiLA,True,hi,True
vOlbsk_ru_U,True,hi,True
VKqzSv509xk,True,en,True
02u0sbxZMuE,True,en,True
H8839nIXsog,True,en,True
QQZ7e66-Vgk,True,hi,True
LlsAx-TaQw4,True,en,True
rP98Wu7-YM4,True,en,True
n8N-RQgMXmM,True,en,True
xivKGF3fDpA,True,en,True
uQxvgH4oTTI,True,en,True
XKe8oiQDR68,True,hi,True
vwaWGxG-J9k,True,hi,True
w-qMkgmWA4M,True,en,True
zgUnmoFOTts,True,hi,True
monxOtArSdE,True,en,True
XjzM546PQ6E,True,ro,True
KOBl2gMTsUI,True,en,True
Sc08I9A0oLU,True,hi,True
s7Mw13LujzE,True,hi,True
H9bF0cVhU4Q,True,hi,True
xR9j7yG-94A,True,en,True
Ypwn-vB5jvw,True,hi,True
4HN--v2kpz0,True,hi,True
4Tq_Q3NBE7w,True,hi,True
l7_7DjjjTw8,True,en,True
55JWQ0PyYVA,True,hi,True
kq0zMkc1jQw,True,hi,True
tqbPqSzob_I,True,en,True
9H9dwtG_Ing,True,de,True
CDRLQqlYefc,True,ru,True
uQEn4vwwLYg,True,en,True
__cd-Hi0gnQ,True,mr,True
G26RqtF4sm8,True,ko,True
Kq6KSPBrf3g,True,en,True
DjuOaweshUs,True,es,True
Qy14dSLN-mA,True,hi,True
quLNVEqK7sU,True,hi,True
VT5itSvfn5g,True,en,True
B7XpkH6pzlg,True,en,True
DVsSBfS34Fk,True,en,True
GjsCjBD6aaE,True,en,True
9puS4NcoHQ4,True,en,True
3LxK-TiifzQ,True,en,True
TpTRtaSEGrE,True,en,True
81J_pa88Mi4,True,en,True
SkT4ll953as,True,en,True
ZelH0Jywa5Q,True,en,True
d_PgNocg3z4,True,en,True
6YPmSaTu468,True,en,True
KgTyB6UNeUM,True,en,True
qZGQBgF5Uhk,True,en,True
HcbG1q7iL8I,True,en,True
LAuhSmFz9rM,True,en,True
e81UHZM44vU,True,en,True
Qg9xS_09m9k,True,en,True
4HdETZiiTyA,True,en,True
EnaJ6CfZEco,True,en,True
Y7Ye51p2Fj4,True,en,True
GL7r_NfckrM,True,en,True
XgbnqeGbSoQ,True,en,True
loEP6SecmHE,True,en,True
zHHHJqUBbqo,True,en,True
RXRgRsoNRmk,True,en,True
MkrFz5QRjOs,True,en,True
GREtxk36fQ8,True,en,True
8DMZ-pghVQM,True,en,True
tO2uXTDYWlY,True,en,True
NpaZzoUxA7Q,True,en,True
rt_u26zF2-s,True,en,True
