video_id,captions_available,languages,auto_generated
Iwp5CgFCuco,False,,False
kT4s6iZ6mJI,True,nl,True
uWsNWorJLcM,True,hi,True
wF2g2CklpUs,True,en,True
h0UrbyV3jUY,True,en,True
qDzYQmJI4tE,False,,False
dhrsxFdkzNQ,False,,False
UJPAHpPTt1Y,True,hi,True
dsbK-YLLB-U,True,hi,True
ekzlBsSR8RU,True,hi,True
jHyYaM2oe1E,True,hi,True
Ke39MCav5Hs,True,hi,True
559cVTeWW9s,True,en,True
AY8cNUWAEpg,False,,False
ParJGqcRX94,False,,False
NgoTi9qxWVU,False,,False
D9dBXNT0YA4,True,en,True
K7YeE3zSQdE,True,hi,True
fvsC4x4VBpM,True,hi,True
z7RdbXnjjMc,True,en,True
riURtZa6MhU,False,,False
UMSIaxSdOa4,True,en,True
N_c9BgiN46Q,True,en,True
xgIkGdwPqlQ,True,en,True
xm28ewV7S9w,True,en,True
RNCyEuseurI,True,en,True
I6qzKSOXUsM,True,en,True
Cn69_7WkUSM,True,en,True
JK2y_SfHdf8,True,hi,True
JxVCCHqc72E,True,en,True
ocuerNUWTaM,True,en,True
qBcyeYP6snc,True,en,True
FB543E0MSXQ,True,en,True
2088EJFs5fQ,True,en,True
KASKJeYSE20,True,hi,True
j-uKhBSLL48,True,en,True
pORdexOKJ7E,True,en,True
0T_qOiw2Xuk,True,en,True
jq3XAReBLtQ,True,en,True
CWa-gW_-7zQ,True,en,True
3DbBA1BTAM4,True,en,True
BSiBZtjXDb0,True,en,True
HXhxVUNecmg,True,en,True
tdplSsPk8tI,True,en,True
u1JgC4ZjEJc,True,en,True
jMKJYZDqTks,True,en,True
VWRLYm3qBI4,True,en,True
piaIDE9_72U,True,hi,True
sMBMcZ9qC1c,True,hi,True
5HxJ-DOJGV0,True,hi,True
bYf5oUBqcvs,True,hi,True
F8r2xYzf6Z0,True,en,True
3jgTR6-g1Lo,True,en,True
cipmQDkJWRk,True,en,True
ckQIyUR-YYQ,True,hi,True
-ZxrdlQe_78,True,en,True
lA9dHOAGUjs,True,en,True
38OJ5YUWgDE,True,hi,True
LlIcW_A5eaM,True,en,True
tHkW2akJLfY,True,en,True
kkvjhnSG3pQ,True,en,True
VsGPjzPndHc,True,hi,True
3-4dvMSYSis,True,en,True
pSjXJBEdLhQ,True,en,True
6WtvdIBrW8c,True,hi,True
DrEBOB3mAWI,True,hi,True
d_PYT6CElGg,True,en,True
puFOuS2sk9w,True,hi,True
cEebNNbLlQU,True,en,True
Xr6ZOn6Xd7E,True,hi,True
FQCb-9Df0uQ,True,en,True
I0ahh_fiPVo,True,hi,True
y4tARqIzJis,True,en,True
Iwuib4fD6dM,True,en,True
ijS-ruHh_-8,True,en,True
f3PH1cvX8sM,True,en,True
wOB5cUaunT8,True,hi,True
lFzm6nIcyoE,True,hi,True
k2JHTLlqGuE,True,en,True
og_Xqy_IHpY,True,en,True
oW9LOUCGsiU,False,,False
j-f0YHcix90,True,en,True
sqhAuIa5PB4,True,en,True
2e_pszlUvOs,True,hi,True
or6mG6Sj-Mw,False,,False
_IKq9_hxfR8,True,en,True
Ui4Evwvx2io,False,,False
tc80x4xIlHA,True,en,True
xm0_KOSNLTY,True,en,True
hqSZI4xHvw8,True,en,True
24OcYjeKAZo,True,en,True
E4CYCnXnhrk,True,ar,True
9SZFSBW5MDk,True,en,True
vesCA0lzuzA,True,hi,True
Xh2q22BxBCY,False,,False
549VedVn4gg,True,en,True
D0WIW75lcGc,False,,False
KvdAWtb4mVE,True,en,True
n3Zf6ga7ncU,True,en,True
cpgmUSfA334,True,"en,en",True
VzBqEC3qk3Q,True,en,True
p1LbPWuaFJA,False,,False
QIU7y0WBfgc,True,hi,True
JbzEmGWh1mc,True,en,True
clhT4OwJ_SQ,True,hi,True
ieIBcZvf-Fw,False,,False
HSBwdaHZhx4,True,en,True
FFItaOgVdPY,True,en,True
woDftJ5-_hk,True,en,True
N9ZnuWKaVGc,True,en,True
NgjwKnU8Jog,False,,False
yU_V9zgUo-k,True,nl,True
8yPAIC2XRmM,False,,False
Oti5_j_jtk0,False,,False
oqnebrp_uh0,False,,False
-asdhNHzVTU,False,,False
HiwvlEsy2rs,False,,False
SCYYMEUJ7-4,False,,False
N9K_goSCAIQ,False,,False
xBbq3rXmWwc,False,,False
FY74Coskjrg,False,,False
boY0d9-ECrI,False,,False
rAKtXjjIYvM,False,,False
tlQFariES-I,True,hi,True
jhKwgdUmCDk,False,,False
Vk6H0oT1n2U,True,hi,True
hPz_P3AXdsk,False,,False
tALgQWMmE8k,False,,False
7m3OeZTJttc,False,,False
VEu1MUKMAHU,False,,False
VPJwv5iWDF4,True,hi,True
AoGAk7zlWvc,False,,False
uRZCB0FquO0,False,,False
hgXh4O1k-pM,False,,False
FcliMk-HpcQ,False,,False
EeWUKcI5ErU,True,hi,True
