video_id,title,channel,upload_date,duration,view_count,source_corpus,uploader,like_count,webpage_url,description,has_transcript,word_count,status,cluster
dN7-tXsrjYk,Yoga for Self & Society - Celebrating 10th International Yoga Day - June 21 #YogaforAllRoga,Planet Ayurveda,20240621,929.0,6721,phase2,,,,,True,,transcript_available,1
OkVZA6fQ9Qw,#Yoga for Self and Society!🧘🏻‍♀️🌍🧘🏻‍♂️,Ministry of Information & Broadcasting,20240617,144.0,134,phase2,,,,,True,,transcript_available,1
95kRvXxYhu0,#Yoga for Self and Society!🧘🏻‍♀️🌍🧘🏻‍♂️➡️#Ustrasana - The Camel Posture!🔷,"Information & PR, J&K",20240614,177.0,16,phase2,,,,,True,,transcript_available,6
8PjqjxUvNOo,Yoga for Self and Society Essay Writing or speech in English 300 Words by Smile Please World,Smile Please World,20240620,147.0,685,phase2,,,,,True,,transcript_available,4
6LNRlqp86yM,International Yoga Day 2024 centers on 'yoga for self and society',FOX40 News,20240621,290.0,2325,phase2,,,,,True,,transcript_available,1
n1F9VmD1gmg,Floor yoga for MS | MS Society,MS Society UK,20190923,877.0,71654,phase2,,,,,True,,transcript_available,6
4g0kkebBowM,YOGA FOR SELF AND SOCIETY,Snigdha's podium ,20240620,367.0,274,phase2,,,,,True,,transcript_available,9
W8eP9ZZqofU,Yoga Day 2024 | Yoga for Self and Society,Ayursiha Hospital,20240622,60.0,30,phase2,,,,,True,,transcript_available,1
BlyAhlQvF04,Yoga for Self and Society,EMPC-IGNOU,20250620,3597.0,362,phase2,,,,,True,,transcript_available,2
xlQHn5hSciM,“Yoga for Self and Society | IYD 2025 Powerful Message” Theme: “Yoga for Self and Society”,GS CRAZE ,20250621,147.0,82,phase2,,,,,True,,transcript_available,2
YnpWEXUA2WI,#Yoga for Self and Society!🧘🏻‍♀️🌍🧘🏻‍♂️,Ministry of Information & Broadcasting,20240612,138.0,159,phase2,,,,,True,,transcript_available,6
BrqZXHcffDA,10th International Day of Yoga - Yoga for self and Society ( LIVE ),ICCR IN SRI LANKA,20240622,4481.0,56,phase2,,,,,True,,transcript_available,6
KYKcxkZzHp8,“Kriya Yoga Meditation for a Happy and Successful Life” | World Meditation Day Talk By YSS Sannyasi,Yogoda Satsanga Society of India,20241222,3022.0,25900,phase2,,,,,True,,transcript_available,1
-DrjPSadlrw,"International Yoga Day 2024 Video in Hindi || ""Yoga for Self and Society"" || Benefits of Yoga",SheelTalks,20240621,227.0,65,phase2,,,,,True,,transcript_available,2
O3UzA-ItA0k,Essay on Yoga for self and society|Speech on yoga for self and society|International yoga Day Essay,kids fun Magic world,20240620,354.0,165,phase2,,,,,True,,transcript_available,9
7axw1ORZhV8,Freedom from the Self: A Study of the Yoga Sutras with Ravi Ravindra - 2 | Theosophical Classic 2016,Theosophical Society,20260111,3576.0,695,phase2,,,,,True,,transcript_available,1
