video_id,filename,filepath,priority,word_count,character_count
Q0WsIBmog1I,Q0WsIBmog1I.en-orig.txt,data/transcripts/Q0WsIBmog1I.en-orig.txt,1,1034,5405
QX3gSDoLjqM,QX3gSDoLjqM.en-orig.txt,data/transcripts/QX3gSDoLjqM.en-orig.txt,1,557,3058
Qthn_19_aHM,Qthn_19_aHM.en-orig.txt,data/transcripts/Qthn_19_aHM.en-orig.txt,1,1593,8236
R-rwd5yGBr0,R-rwd5yGBr0.txt,data/transcripts/R-rwd5yGBr0.txt,4,5363,25511
RBwItubQCoQ,RBwItubQCoQ.en-orig.txt,data/transcripts/RBwItubQCoQ.en-orig.txt,1,6591,35349
RGsBun5NKJw,RGsBun5NKJw.en-orig.txt,data/transcripts/RGsBun5NKJw.en-orig.txt,1,43,244
R_FsSuJXlk0,R_FsSuJXlk0.en-orig.txt,data/transcripts/R_FsSuJXlk0.en-orig.txt,1,5258,28775
R_PIwm_WHeQ,R_PIwm_WHeQ.en-orig.txt,data/transcripts/R_PIwm_WHeQ.en-orig.txt,1,1083,6057
Raa-U-y4920,Raa-U-y4920.en-orig.txt,data/transcripts/Raa-U-y4920.en-orig.txt,1,911,4402
RbhNAq8XeP0,RbhNAq8XeP0.txt,data/transcripts/RbhNAq8XeP0.txt,4,32820,180945
Rf2sERzU0Lo,Rf2sERzU0Lo.en-orig.txt,data/transcripts/Rf2sERzU0Lo.en-orig.txt,1,1154,6672
RjDLpbR-mWM,RjDLpbR-mWM.en-orig.txt,data/transcripts/RjDLpbR-mWM.en-orig.txt,1,431,2588
RoH7XBJqEdI,RoH7XBJqEdI.en-orig.txt,data/transcripts/RoH7XBJqEdI.en-orig.txt,1,598,3530
RzYiFBi82dI,RzYiFBi82dI.txt,data/transcripts/RzYiFBi82dI.txt,4,3783,20931
S0b_R9YBaEE,S0b_R9YBaEE.txt,data/transcripts/S0b_R9YBaEE.txt,4,656,3493
S37f0y5QLHg,S37f0y5QLHg.en-orig.txt,data/transcripts/S37f0y5QLHg.en-orig.txt,1,1235,6568
S7Xj2DjSAOo,S7Xj2DjSAOo.en-orig.txt,data/transcripts/S7Xj2DjSAOo.en-orig.txt,1,10987,62580
S9pdVzfmNvI,S9pdVzfmNvI.txt,data/transcripts/S9pdVzfmNvI.txt,4,9257,47427
SHyvmu2yHRc,SHyvmu2yHRc.en-orig.txt,data/transcripts/SHyvmu2yHRc.en-orig.txt,1,10475,57419
Sa5HBmLwH00,Sa5HBmLwH00.txt,data/transcripts/Sa5HBmLwH00.txt,4,2109,11403
SwufoZmheHw,SwufoZmheHw.en-orig.txt,data/transcripts/SwufoZmheHw.en-orig.txt,1,222,1167
T-y9F_n1rZM,T-y9F_n1rZM.en-orig.txt,data/transcripts/T-y9F_n1rZM.en-orig.txt,1,8734,49496
T1SghqwJDsI,T1SghqwJDsI.en.txt,data/transcripts/T1SghqwJDsI.en.txt,2,25286,140737
T4q-n5Sxt2Y,T4q-n5Sxt2Y.en-orig.txt,data/transcripts/T4q-n5Sxt2Y.en-orig.txt,1,107,586
THvRM-RU764,THvRM-RU764.en.txt,data/transcripts/THvRM-RU764.en.txt,2,17213,95141
TLNnshDVRao,TLNnshDVRao.en-orig.txt,data/transcripts/TLNnshDVRao.en-orig.txt,1,3941,20619
TMmlL9bXdg0,TMmlL9bXdg0.en-orig.txt,data/transcripts/TMmlL9bXdg0.en-orig.txt,1,1251,6737
TVlLod9gHW8,TVlLod9gHW8.en-orig.txt,data/transcripts/TVlLod9gHW8.en-orig.txt,1,4013,22232
TW1jRrO1ob0,TW1jRrO1ob0.en-orig.txt,data/transcripts/TW1jRrO1ob0.en-orig.txt,1,665,3626
Tc2elWuujqw,Tc2elWuujqw.en-orig.txt,data/transcripts/Tc2elWuujqw.en-orig.txt,1,142,787
TcUzZ4fVtG4,TcUzZ4fVtG4.en-orig.txt,data/transcripts/TcUzZ4fVtG4.en-orig.txt,1,509,2994
Tqk_H51lqr0,Tqk_H51lqr0.en-orig.txt,data/transcripts/Tqk_H51lqr0.en-orig.txt,1,9834,63560
Tx1dODB8ox0,Tx1dODB8ox0.txt,data/transcripts/Tx1dODB8ox0.txt,4,6766,36163
ULYfXTvQRgw,ULYfXTvQRgw.en-orig.txt,data/transcripts/ULYfXTvQRgw.en-orig.txt,1,78,438
UV-kfLDCDHE,UV-kfLDCDHE.en-orig.txt,data/transcripts/UV-kfLDCDHE.en-orig.txt,1,570,2827
Ug8OoFAFfZ0,Ug8OoFAFfZ0.en.txt,data/transcripts/Ug8OoFAFfZ0.en.txt,2,758,4394
Uj7KlwPMsKU,Uj7KlwPMsKU.en-orig.txt,data/transcripts/Uj7KlwPMsKU.en-orig.txt,1,584,3410
UnNImpebWA8,UnNImpebWA8.en-orig.txt,data/transcripts/UnNImpebWA8.en-orig.txt,1,4473,24003
UwKuh0x56dM,UwKuh0x56dM.en-orig.txt,data/transcripts/UwKuh0x56dM.en-orig.txt,1,117,617
Ux0Cc9Gj5R8,Ux0Cc9Gj5R8.en.txt,data/transcripts/Ux0Cc9Gj5R8.en.txt,2,5120,29832
V-f6lHtjtKo,V-f6lHtjtKo.en-orig.txt,data/transcripts/V-f6lHtjtKo.en-orig.txt,1,904,4820
