title,year,authors,venue,citations,url
Yoga Research a Scientometric Assessment of Global Publications Output during 2007-16.,2018,"['BM Gupta', 'KK Ahmed', 'SM Dhawan']",Pharmacognosy …,109,https://www.researchgate.net/profile/Brij-Mohan-Gupta/publication/323958555_Yoga_Research_a_Scientometric_Assessment_of_Global_Publications_Output_during_2007-16/links/5ab4a112aca272171003f0ea/Yoga-Research-a-Scientometric-Assessment-of-Global-Publications-Output-during-2007-16.pdf
Yoga soft power: How flexible is the posture?,2018,"['A Gautam', 'J Droogan']",The Journal of International …,66,https://www.tandfonline.com/doi/abs/10.1080/13216597.2017.1388829
The unintended consequences of International Day of Yoga,2018,['P McCartney'],Daily O,7,https://www.academia.edu/download/57088000/mccartney_dailyO_The_unintended_consequences_of_International_Day_of_Yoga.pdf
"A study on global development, rise and awareness of yoga",2018,"['S Chanda', 'DJ Singh', 'DVN Verma']",International Journal of Yoga …,1,https://www.researchgate.net/profile/Shaybal-Chanda-2/publication/394842870_Impact_Factor_RJIF_524_wwwsportsjournal/links/68a844742c7d3e0029b2c0b7/Impact-Factor-RJIF-524-wwwsportsjournal.pdf
"Characteristics of yoga practitioners, motivators, and yoga techniques of choice: A cross-sectional study",2017,"['S Telles', 'SK Sharma', 'N Singh']",Frontiers in public health,53,https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2017.00184/full
The revival of yoga in contemporary India,2017,['S Newcombe'],Oxford Research Encyclopaedia: Religion,51,https://oro.open.ac.uk/48147/
Politics beyond the yoga mat: Yoga fundamentalism and the 'vedic way of life',2017,['P McCartney'],Global Ethnographic,35,https://www.researchgate.net/profile/Patrick-Mccartney-2/publication/335749840_Politics_beyond_the_Yoga_Mat_Yoga_Fundamentalism_and_the_'Vedic_Way_of_Life'/links/5d7907c04585151ee4aee0a9/Politics-beyond-the-Yoga-Mat-Yoga-Fundamentalism-and-the-Vedic-Way-of-Life.pdf
Integrating yoga in health professional education: The SBV experience,2017,['AB Bhavanani'],Annals of SBV,18,https://www.academia.edu/download/84549993/jp-journals-10085-6110.pdf
The message of international yoga day,2017,['G Pal'],International Journal of Clinical and Experimental …,0,https://go.gale.com/ps/i.do?id=GALE%7CA499324371&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=23488093&p=HRCA&sw=w
Yoga and mental health: An Underexplored relationship,2016,['GK Tiwari'],The International Journal of Indian Psychology,52,https://www.academia.edu/download/50020836/Yoga_and_Mental_Health-An_Underexplored_2016.pdf
Modern Yoga Research: insights and questions,2016,['K Baier'],Эlektron. Resurs [Rezhym dostupu] https://www …,20,https://www.academia.edu/download/37200391/_Baier_Modern_Yoga_licensed_.pdf
